yearID,lgID,teamID,divID,Rank,G,W,L,DivWin,WCWin,LgWin,WSWin,R,PA,AB,H,2B,3B,HR,TB,BB,SO,SB,CS,SB%,HBP,SF,AVG,OBP,SLG,OPS,RA,ER,ERA,CG,SHO,SV,HA,HRA,BBA,SOA,DP,franchName
2013,NL,ARI,W,2,162,81,81,N,N,N,N,685,6281,5676,1468,302,31,130,2222,519,1142,62,41,0.601941748,43,43,0.25863284,0.323196943,0.391472868,0.714669811,695,651,3.92,6,7,38,1460,176,485,1218,135,Arizona Diamondbacks
2013,NL,ATL,E,1,162,96,66,Y,N,N,N,688,6073,5441,1354,247,21,181,2186,542,1384,64,31,0.673684211,55,35,0.248851314,0.321258027,0.401764382,0.723022409,548,512,3.18,1,12,53,1326,127,409,1232,141,Atlanta Braves
2013,AL,BAL,E,3,162,85,77,N,N,N,N,745,6117,5620,1460,298,14,212,2422,416,1125,79,29,0.731481481,36,45,0.259786477,0.312571522,0.430960854,0.743532376,709,678,4.2,2,6,57,1438,202,473,1169,165,Baltimore Orioles
2013,AL,BOS,E,1,162,97,65,Y,N,Y,Y,853,6354,5651,1566,363,29,178,2521,581,1308,123,19,0.866197183,72,50,0.277119094,0.349228832,0.446115732,0.795344564,656,613,3.79,5,8,33,1366,156,524,1294,142,Boston Red Sox
2013,AL,CHW,C,5,162,63,99,N,N,N,N,598,6056,5563,1385,237,19,148,2104,411,1207,105,42,0.714285714,34,48,0.248966385,0.302179657,0.378213194,0.680392851,723,643,3.98,5,5,40,1424,182,509,1249,155,Chicago White Sox
2013,NL,CHC,C,5,162,66,96,N,N,N,N,602,6034,5498,1307,297,18,172,2156,439,1230,63,32,0.663157895,67,30,0.237722808,0.300464037,0.392142597,0.692606634,689,643,4,3,6,39,1332,160,540,1184,129,Chicago Cubs
2013,NL,CIN,C,3,162,90,72,N,Y,N,N,698,6206,5499,1370,274,20,155,2149,585,1245,67,35,0.656862745,76,46,0.249136207,0.327263938,0.390798327,0.718062265,589,554,3.38,5,17,43,1294,170,435,1296,131,Cincinnati Reds
2013,AL,CLE,C,2,162,92,70,N,Y,N,N,745,6134,5465,1391,290,23,171,2240,562,1283,117,36,0.764705882,51,56,0.25452882,0.326703619,0.409881061,0.73658468,662,611,3.82,3,16,38,1359,147,554,1379,135,Cleveland Indians
2013,NL,COL,W,5,162,74,88,N,N,N,N,706,6087,5599,1511,283,36,159,2343,427,1204,112,32,0.777777778,26,35,0.26986962,0.322654838,0.418467583,0.741122422,760,708,4.44,1,5,35,1545,136,517,1064,162,Colorado Rockies
2013,AL,DET,C,1,162,93,69,Y,N,N,N,796,6356,5735,1625,292,23,176,2491,531,1073,35,20,0.636363636,43,47,0.283347864,0.34597231,0.43435048,0.780322789,624,587,3.61,3,12,39,1369,128,462,1428,136,Detroit Tigers
