yearID,lgID,teamID,Rank,W,L,WSWin,R,H,2B,3B,HR,TB,BB,SO,SB,CS,SB%,HBP,SF,AVG,OBP,SLG,OPS,RA,ERA,CG,SHO,SV,HA,HRA,BBA,SOA,franchName
2013,NL,STL,1,97,65,N,783,1494,322,20,125,2231,481,1110,45,22,0.671641791,64,44,0.268850099,0.331760495,0.401475616,0.733236111,596,3.42,7,15,44,1366,112,451,1254,St. Louis Cardinals
2013,AL,TBR,2,92,71,N,700,1421,296,23,165,2258,589,1171,73,38,0.657657658,36,55,0.256590827,0.329044709,0.407728422,0.736773131,646,3.74,9,17,42,1315,153,482,1310,Tampa Bay Rays
2013,AL,TEX,2,91,72,N,730,1465,262,23,176,2301,462,1067,149,46,0.764102564,61,42,0.262309758,0.323252033,0.411996419,0.735248451,636,3.62,4,10,46,1370,157,498,1309,Texas Rangers
2013,AL,TOR,5,74,88,N,712,1398,273,24,185,2274,510,1123,112,41,0.732026144,38,38,0.252483294,0.317818063,0.41069171,0.728509773,756,4.25,4,11,39,1451,195,500,1208,Toronto Blue Jays
2013,NL,WAS,2,86,76,N,656,1365,259,27,161,2161,464,1192,88,28,0.75862069,40,39,0.251103753,0.312594079,0.397534952,0.710129031,626,3.59,6,13,47,1367,142,405,1236,Washington Nationals
2014,NL,ARI,5,64,98,N,615,1379,259,47,118,2086,398,1165,86,33,0.722689076,43,36,0.248378963,0.301874274,0.375720461,0.677594735,742,4.26,2,4,35,1467,154,469,1278,Arizona Diamondbacks
2014,NL,ATL,2,79,83,N,573,1316,240,22,123,1969,472,1369,95,33,0.7421875,43,27,0.240673007,0.304658902,0.360095099,0.664754001,597,3.38,5,13,54,1369,121,472,1301,Atlanta Braves
2014,AL,BAL,1,96,66,N,705,1434,264,16,211,2363,401,1285,44,20,0.6875,62,36,0.256254467,0.31123872,0.422265904,0.733504624,593,3.43,3,13,53,1342,151,472,1174,Baltimore Orioles
2014,AL,BOS,5,71,91,N,634,1355,282,20,123,2046,535,1337,63,25,0.715909091,68,52,0.244100162,0.315501128,0.368582237,0.684083365,715,4.01,3,7,36,1458,154,482,1213,Boston Red Sox
2014,AL,CHW,4,73,89,N,660,1400,279,32,155,2208,417,1362,85,36,0.702479339,60,38,0.25257081,0.30983823,0.398340249,0.708178479,758,4.29,3,6,36,1468,140,557,1152,Chicago White Sox
2014,NL,CHC,5,73,89,N,614,1315,270,31,157,2118,442,1477,65,40,0.619047619,54,41,0.238743646,0.299586435,0.38453159,0.684118025,707,3.91,1,11,37,1398,115,504,1311,Chicago Cubs
